x [Å]	y [Å]	z [Å]	F [nN]	
82.648	0	5.008	-2.21614e+12
82.68	0	5.008	-2.21614e+12
82.712	0	5.008	-2.21615e+12
82.744	0	5.008	-2.21616e+12
82.776	0	5.008	-2.21617e+12
82.808	0	5.008	-2.21618e+12
82.84	0	5.008	-2.21619e+12
82.872	0	5.008	-2.2162e+12
82.904	0	5.008	-2.21621e+12
82.936	0	5.008	-2.21622e+12
82.968	0	5.008	-2.21623e+12
83	0	5.008	-2.21623e+12
83.032	0	5.008	-2.21624e+12
83.064	0	5.008	-2.21625e+12
83.096	0	5.008	-2.21625e+12
83.128	0	5.008	-2.21626e+12
83.16	0	5.008	-2.21626e+12
83.192	0	5.008	-2.21626e+12
83.224	0	5.008	-2.21626e+12
83.256	0	5.008	-2.21627e+12
83.288	0	5.008	-2.21627e+12
83.32	0	5.008	-2.21626e+12
83.352	0	5.008	-2.21626e+12
83.384	0	5.008	-2.21626e+12
83.416	0	5.008	-2.21626e+12
83.448	0	5.008	-2.21625e+12
83.48	0	5.008	-2.21625e+12
83.512	0	5.008	-2.21624e+12
83.544	0	5.008	-2.21624e+12
83.576	0	5.008	-2.21623e+12
83.608	0	5.008	-2.21622e+12
83.64	0	5.008	-2.21622e+12
83.672	0	5.008	-2.21621e+12
83.704	0	5.008	-2.2162e+12
83.736	0	5.008	-2.21619e+12
83.768	0	5.008	-2.21618e+12
83.8	0	5.008	-2.21617e+12
83.832	0	5.008	-2.21617e+12
83.864	0	5.008	-2.21616e+12
83.896	0	5.008	-2.21616e+12
83.928	0	5.008	-2.21615e+12
83.96	0	5.008	-2.21615e+12
83.992	0	5.008	-2.21615e+12
84.024	0	5.008	-2.21616e+12
84.056	0	5.008	-2.21616e+12
84.088	0	5.008	-2.21617e+12
84.12	0	5.008	-2.21617e+12
84.152	0	5.008	-2.21618e+12
84.184	0	5.008	-2.21619e+12
84.216	0	5.008	-2.2162e+12
84.248	0	5.008	-2.21621e+12
84.28	0	5.008	-2.21622e+12
84.312	0	5.008	-2.21623e+12
84.344	0	5.008	-2.21623e+12
84.376	0	5.008	-2.21624e+12
84.408	0	5.008	-2.21625e+12
84.44	0	5.008	-2.21625e+12
84.472	0	5.008	-2.21626e+12
84.504	0	5.008	-2.21626e+12
84.536	0	5.008	-2.21627e+12
84.568	0	5.008	-2.21627e+12
84.6	0	5.008	-2.21627e+12
84.632	0	5.008	-2.21627e+12
84.664	0	5.008	-2.21628e+12
84.696	0	5.008	-2.21628e+12
84.728	0	5.008	-2.21628e+12
84.76	0	5.008	-2.21628e+12
84.792	0	5.008	-2.21628e+12
84.824	0	5.008	-2.21628e+12
84.856	0	5.008	-2.21628e+12
84.888	0	5.008	-2.21628e+12
84.92	0	5.008	-2.21628e+12
84.952	0	5.008	-2.21628e+12
84.984	0	5.008	-2.21628e+12
85.016	0	5.008	-2.21628e+12
85.048	0	5.008	-2.21628e+12
85.08	0	5.008	-2.21628e+12
85.112	0	5.008	-2.21628e+12
85.144	0	5.008	-2.21628e+12
85.176	0	5.008	-2.21628e+12
85.208	0	5.008	-2.21628e+12
85.24	0	5.008	-2.21628e+12
85.272	0	5.008	-2.21628e+12
85.304	0	5.008	-2.21627e+12
85.336	0	5.008	-2.21627e+12
85.368	0	5.008	-2.21627e+12
85.4	0	5.008	-2.21626e+12
85.432	0	5.008	-2.21625e+12
85.464	0	5.008	-2.21625e+12
85.496	0	5.008	-2.21623e+12
85.528	0	5.008	-2.21622e+12
85.56	0	5.008	-2.2162e+12
85.592	0	5.008	-2.21618e+12
85.624	0	5.008	-2.21615e+12
85.656	0	5.008	-2.21612e+12
85.688	0	5.008	-2.21608e+12
85.72	0	5.008	-2.21602e+12
85.752	0	5.008	-2.21596e+12
85.784	0	5.008	-2.21588e+12
85.816	0	5.008	-2.21579e+12
85.848	0	5.008	-2.21568e+12
85.88	0	5.008	-2.21555e+12
85.912	0	5.008	-2.21539e+12
85.944	0	5.008	-2.2152e+12
85.976	0	5.008	-2.21495e+12
86.008	0	5.008	-2.21464e+12
86.04	0	5.008	-2.21423e+12
86.072	0	5.008	-2.21368e+12
86.104	0	5.008	-2.2129e+12
86.136	0	5.008	-2.2118e+12
86.168	0	5.008	-2.21022e+12
86.2	0	5.008	-2.20794e+12
86.232	0	5.008	-2.20465e+12
86.264	0	5.008	-2.19996e+12
86.296	0	5.008	-2.19333e+12
86.328	0	5.008	-2.18415e+12
86.36	0	5.008	-2.17172e+12
86.392	0	5.008	-2.15535e+12
86.424	0	5.008	-2.13455e+12
86.456	0	5.008	-2.1092e+12
86.488	0	5.008	-2.07987e+12
86.52	0	5.008	-2.04798e+12
86.552	0	5.008	-2.01596e+12
86.584	0	5.008	-1.98699e+12
86.616	0	5.008	-1.96458e+12
86.648	0	5.008	-1.95179e+12
86.68	0	5.008	-1.95053e+12
86.712	0	5.008	-1.96097e+12
86.744	0	5.008	-1.98159e+12
86.776	0	5.008	-2.00949e+12
86.808	0	5.008	-2.04122e+12
86.84	0	5.008	-2.07344e+12
86.872	0	5.008	-2.10357e+12
86.904	0	5.008	-2.12994e+12
86.936	0	5.008	-2.15183e+12
86.968	0	5.008	-2.16922e+12
87	0	5.008	-2.18254e+12

79	0	5.012	-2.07159e+12
79.032	0	5.012	-2.07159e+12
79.064	0	5.012	-2.07159e+12
79.096	0	5.012	-2.07159e+12
79.128	0	5.012	-2.07159e+12
79.16	0	5.012	-2.07159e+12
79.192	0	5.012	-2.07159e+12
